LGAshort,STATE_NAME21,LGA_NAME23
AdelaidePlains,South Australia,Adelaide Plains
Albany,Western Australia,Albany
Alexandrina,South Australia,Alexandrina
Ballina,New South Wales,Ballina
BarungaWest,South Australia,Barunga West
BassCoast,Victoria,Bass Coast
BaysideNSW,New South Wales,Bayside (NSW)
BaysideVic,Victoria,Bayside (Vic.)
BegaValley,New South Wales,Bega Valley
Bellingen,New South Wales,Bellingen
Brisbane,Queensland,Brisbane
Bunbury,Western Australia,Bunbury
Bundaberg,Queensland,Bundaberg
Burdekin,Queensland,Burdekin
Burnie,Tasmania,Burnie
Busselton,Western Australia,Busselton
Byron,New South Wales,Byron
Cairns,Queensland,Cairns
Cambridge,Western Australia,Cambridge
Capel,Western Australia,Capel
Cardinia,Victoria,Cardinia
Carpentaria,Queensland,Carpentaria
Casey,Victoria,Casey
CassowaryCoast,Queensland,Cassowary Coast
Ceduna,South Australia,Ceduna
CentralCoastNSW,New South Wales,Central Coast (NSW)
CentralCoastTas,Tasmania,Central Coast (Tas.)
CharlesSturt,South Australia,Charles Sturt
ChristmasIsland,Other Territories,Christmas Island
CircularHead,Tasmania,Circular Head
Claremont,Western Australia,Claremont
Clarence,Tasmania,Clarence
ClarenceValley,New South Wales,Clarence Valley
Cockburn,Western Australia,Cockburn
CocosIslands,Other Territories,Cocos Islands
CoffsHarbour,New South Wales,Coffs Harbour
ColacOtway,Victoria,Colac Otway
Cook,Queensland,Cook
Coorong,South Australia,Coorong
CopperCoast,South Australia,Copper Coast
Corangamite,Victoria,Corangamite
Cottesloe,Western Australia,Cottesloe
Dandaragan,Western Australia,Dandaragan
Dardanup,Western Australia,Dardanup
Darwin,Northern Territory,Darwin
DarwinWaterfrontPrecinct,Northern Territory,Darwin Waterfront Precinct
Devonport,Tasmania,Devonport
Dorset,Tasmania,Dorset
Douglas,Queensland,Douglas
EastFremantle,Western Australia,East Fremantle
EastGippsland,Victoria,East Gippsland
Elliston,South Australia,Elliston
Esperance,Western Australia,Esperance
Eurobodalla,New South Wales,Eurobodalla
Exmouth,Western Australia,Exmouth
FranklinHarbour,South Australia,Franklin Harbour
Frankston,Victoria,Frankston
FraserCoast,Queensland,Fraser Coast
Fremantle,Western Australia,Fremantle
GeorgeTown,Tasmania,George Town
Gingin,Western Australia,Gingin
Gladstone,Queensland,Gladstone
Glamorgan-SpringBay,Tasmania,Glamorgan-SpringBay
Glenelg,Victoria,Glenelg
GoldCoast,Queensland,Gold Coast
Grant,South Australia,Grant
GreaterGeelong,Victoria,Greater Geelong
Gympie,Queensland,Gympie
Harvey,Western Australia,Harvey
Hinchinbrook,Queensland,Hinchinbrook
Hobart,Tasmania,Hobart
HobsonsBay,Victoria,Hobsons Bay
HoldfastBay,South Australia,Holdfast Bay
HopeVale,Queensland,Hope Vale
Hornsby,New South Wales,Hornsby
HuonValley,Tasmania,Huon Valley
Isaac,Queensland,Isaac
Joondalup,Western Australia,Joondalup
Kempsey,New South Wales,Kempsey
Kiama,New South Wales,Kiama
Kingborough,Tasmania,Kingborough
KingstonVic,Victoria,Kingston (Vic.)
Kwinana,Western Australia,Kwinana
LakeMacquarie,New South Wales,Lake Macquarie
LatrobeTas,Tasmania,Latrobe (Tas.)
Launceston,Tasmania,Launceston
Lismore,New South Wales,Lismore
Litchfield,Northern Territory,Litchfield
Livingstone,Queensland,Livingstone
Logan,Queensland,Logan
LowerEyrePeninsula,South Australia,Lower Eyre Peninsula
Mackay,Queensland,Mackay
Mandurah,Western Australia,Mandurah
Marion,South Australia,Marion
Melbourne,Victoria,Melbourne
Mid-Coast,New South Wales,Mid-Coast
MoretonBay,Queensland,Moreton Bay
MorningtonPeninsula,Victoria,Mornington Peninsula
Mosman,New South Wales,Mosman
MosmanPark,Western Australia,Mosman Park
MountRemarkable,South Australia,Mount Remarkable
Moyne,Victoria,Moyne
NambuccaValley,New South Wales,Nambucca Valley
Napranum,Queensland,Napranum
Nedlands,Western Australia,Nedlands
Newcastle,New South Wales,Newcastle
Noosa,Queensland,Noosa
NorthSydney,New South Wales,North Sydney
NorthernBeaches,New South Wales,Northern Beaches
Onkaparinga,South Australia,Onkaparinga
PalmIsland,Queensland,Palm Island
Palmerston,Northern Territory,Palmerston
PeppermintGrove,Western Australia,Peppermint Grove
Playford,South Australia,Playford
PortAdelaideEnfield,South Australia,Port Adelaide Enfield
PortAugusta,South Australia,Port Augusta
PortLincoln,South Australia,Port Lincoln
PortMacquarie-Hastings,New South Wales,PortMacquarie-Hastings
PortPhillip,Victoria,Port Phillip
PortPirie,South Australia,Port Pirie
PortStephens,New South Wales,Port Stephens
Queenscliffe,Victoria,Queenscliffe
Randwick,New South Wales,Randwick
Redland,Queensland,Redland
RichmondValley,New South Wales,Richmond Valley
Rockhampton,Queensland,Rockhampton
Rockingham,Western Australia,Rockingham
Salisbury,South Australia,Salisbury
Shellharbour,New South Wales,Shellharbour
Shoalhaven,New South Wales,Shoalhaven
Stirling,Western Australia,Stirling
StreakyBay,South Australia,Streaky Bay
SunshineCoast,Queensland,Sunshine Coast
SurfCoast,Victoria,Surf Coast
Sutherland,New South Wales,Sutherland
Sydney,New South Wales,Sydney
Torres,Queensland,Torres
Townsville,Queensland,Townsville
TumbyBay,South Australia,Tumby Bay
Tweed,New South Wales,Tweed
UnincorpOtherTerritories,Other Territories,Unincorp. Other Territories
UnincorporatedNSW,New South Wales,Unincorporated NSW
UnincorporatedNT,Northern Territory,Unincorporated NT
UnincorporatedSA,South Australia,Unincorporated SA
UnincorporatedVic,Victoria,Unincorporated Vic
VictorHarbor,South Australia,Victor Harbor
Wagait,Northern Territory,Wagait
Wanneroo,Western Australia,Wanneroo
Waratah-Wynyard,Tasmania,Waratah-Wynyard
Waroona,Western Australia,Waroona
Warrnambool,Victoria,Warrnambool
Waverley,New South Wales,Waverley
Weipa,Queensland,Weipa
Wellington,Victoria,Wellington
WestTamar,Tasmania,West Tamar
WestTorrens,South Australia,West Torrens
Whitsunday,Queensland,Whitsunday
Whyalla,South Australia,Whyalla
Wollongong,New South Wales,Wollongong
Woollahra,New South Wales,Woollahra
Wyndham,Victoria,Wyndham
Yankalilla,South Australia,Yankalilla
Yarrabah,Queensland,Yarrabah
YorkePeninsula,South Australia,Yorke Peninsula
