"state","0.06","0.1","0.2","0.38","0.6","1","0.04","0.14","0.32","0.54","0.94","0","0.9"
"NSW","2.37 [2.12 - 2.74]","4.21 [3.52 - 5.36]","17.74 [12.36 - 28.74]",">200 [>200 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1.78 [1.65 - 1.97]","7.49 [5.81 - 10.49]","99.6 [55.88 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
"NT","2.08 [1.88 - 2.39]","3.39 [2.9 - 4.17]","11.58 [8.19 - 18.74]","103.29 [57.42 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1.63 [1.52 - 1.79]","5.55 [4.36 - 7.78]","50.32 [28.94 - 108.78]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
"QLDNorth","1.96 [1.79 - 2.22]","3.08 [2.64 - 3.78]","9.46 [6.99 - 14.3]","71.43 [40.24 - 156.59]",">200 [>200 - >200]",">200 [>200 - >200]","1.57 [1.48 - 1.7]","4.82 [3.9 - 6.44]","36.4 [22.45 - 70.51]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
"QLDSouth","2.92 [2.55 - 3.52]","5.96 [4.73 - 8.12]","35.47 [22.15 - 67.21]",">200 [>200 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","2.04 [1.86 - 2.31]","12.16 [8.75 - 19.02]",">200 [>200 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
"SA","1.84 [1.7 - 2.06]","2.76 [2.41 - 3.32]","7.62 [5.84 - 10.95]","47.42 [28.56 - 94.34]",">200 [>200 - >200]",">200 [>200 - >200]","1.5 [1.42 - 1.62]","4.14 [3.46 - 5.24]","25.79 [16.82 - 46.02]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
"TAS","2.61 [2.3 - 3.08]","4.95 [3.97 - 6.71]","24.5 [15.77 - 45]",">200 [>200 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1.9 [1.74 - 2.15]","9.39 [6.9 - 14.36]","167.02 [82.54 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
"VIC","2.47 [2.18 - 2.91]","4.52 [3.73 - 5.88]","20.44 [13.7 - 35.24]",">200 [>200 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1.83 [1.68 - 2.04]","8.27 [6.25 - 12.1]","125.28 [67.32 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
"WANorth","1.91 [1.75 - 2.16]","2.93 [2.53 - 3.59]","8.61 [6.43 - 12.86]","59.8 [34.8 - 124.89]",">200 [>200 - >200]",">200 [>200 - >200]","1.54 [1.45 - 1.67]","4.51 [3.68 - 5.98]","31.35 [19.87 - 58.28]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
"WASouth","2.12 [1.92 - 2.43]","3.49 [2.98 - 4.32]","12.14 [8.72 - 19.06]","116.05 [63.5 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1.65 [1.55 - 1.81]","5.74 [4.55 - 7.87]","54.29 [31.95 - 111.74]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
NA,"2.3 [2.06 - 2.67]","4.02 [3.35 - 5.15]","16.13 [11.19 - 26.5]","197.11 [98.37 - >200]",">200 [>200 - >200]",">200 [>200 - >200]","1.74 [1.62 - 1.93]","7.01 [5.42 - 9.92]","85.58 [47.67 - 189.38]",">200 [>200 - >200]",">200 [>200 - >200]","1 [1 - 1]",">200 [>200 - >200]"
