"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.218292236328,-18.0007991790771,0.2,5.26,5.67,10.86,7.8,17.16,4.21,3.38,5.77
"NT","East Arnhem",136.368423461914,-13.8599948883057,0.2,1.68,2,6.94,5.16,10.64,3.56,2.92,4.75
"QLDNorth","Townsville",147.105270385742,-19.2773990631104,0.2,2.27,2.52,49.78,27.77,114.4,9.79,6.95,15.98
"QLDNorth","Livingstone",150.793533325195,-23.122766494751,0.2,2.89,3.68,45.07,26.5,94.14,3.99,3.23,5.41
"NSW","Wollongong",150.913467407227,-34.4770774841309,0.2,1.42,2.66,459.87,184.19,1694.65,2.4,2.11,2.86
"VIC","Surf Coast",144,-38.5785293579102,0.2,1.7,2.56,16.34,10.95,28.61,4.09,3.31,5.52
"SA","Onkaparinga",138.421051025391,-35.1084899902344,0.2,2.49,3.35,3.67,3.11,4.57,2.01,1.84,2.28
"SA","Ceduna",133.631576538086,-32.1934509277344,0.2,2.2,3.66,3.58,3.05,4.43,1.74,1.63,1.91
"WASouth","Esperance",121.897087097168,-33.8707008361816,0.2,1.3,1.56,10.07,7.44,15.17,4.62,3.81,5.97
"TAS","Burnie",145.914001464844,-40.9999961853027,0.2,2.1,3.11,14.28,9.87,23.82,2.88,2.49,3.53
"WASouth","Joondalup",115.684211730957,-31.8255958557129,0.2,1.19,3.42,11.7,8.51,17.96,1.67,1.56,1.83
"NT","Darwin",130.845794677734,-12.2999992370605,0.2,4,4.61,81.8,44.82,187.2,3.19,2.7,4.03
"VIC","Bass Coast",145.224685668945,-38.5499954223633,0.2,2.09,3.25,10.39,7.36,16.94,3.13,2.64,4
"VIC","Glenelg",141.631576538086,-38.4138069152832,0.2,1.2,2.8,18.92,12.89,31.8,3.34,2.78,4.35
"TAS","Glamorgan-Spring Bay",148.099990844727,-42.5463905334473,0.2,1.18,1.7,20.81,13.5,38.13,4.85,3.89,6.61
"WASouth","Fremantle",115.736831665039,-32.0597686767578,0.2,1.18,3.34,11.33,8.24,17.45,1.64,1.54,1.79
