"longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
122.218292236328,-18.0007991790771,0.32,5.57,6.12,45.41,26.74,94.49,9.96,7.02,16.49
136.368423461914,-13.8599948883057,0.32,2.04,2.49,22.2,13.81,43.99,7.61,5.54,12.1
147.105270385742,-19.2773990631104,0.32,2.52,2.84,519.14,204.07,1965.54,38.46,22.23,84.26
150.793533325195,-23.122766494751,0.32,3.13,4.14,442.8,189.29,1438.96,9.14,6.51,14.88
150.913467407227,-34.4770774841309,0.32,1.62,3.31,18206.01,4211.32,146733.44,4.05,3.31,5.38
144,-38.5785293579102,0.32,1.99,3.01,87.32,46.06,213.95,9.52,6.8,15.37
138.421051025391,-35.1084899902344,0.32,2.97,4.14,8,6.15,11.38,3.07,2.65,3.73
133.631576538086,-32.1934509277344,0.32,2.69,4.63,7.68,5.94,10.84,2.43,2.18,2.82
121.897087097168,-33.8707008361816,0.32,1.62,1.99,40.24,24.8,77.56,11.57,8.5,17.44
145.914001464844,-40.9999961853027,0.32,2.4,3.68,70.4,38.98,159.67,5.44,4.31,7.52
115.684211730957,-31.8255958557129,0.32,1.5,4.46,51.15,30.75,101.58,2.28,2.04,2.64
130.845794677734,-12.2999992370605,0.32,4.23,5.13,1149.17,438.82,4321.86,6.39,4.89,9.29
145.224685668945,-38.5499954223633,0.32,2.41,3.78,42.34,24.39,92.55,6.21,4.73,9.18
141.631576538086,-38.4138069152832,0.32,1.48,3.31,110.4,59.73,253.49,6.9,5.15,10.5
148.099990844727,-42.5463905334473,0.32,1.46,2.12,128.59,64.32,338.93,12.52,8.77,20.53
115.736831665039,-32.0597686767578,0.32,1.5,4.41,48.61,29.2,97.02,2.2,1.99,2.54
151.315795898438,-33.8696632385254,0.32,1.65,3.81,12781.29,3171.32,92252.32,3.28,2.79,4.09
138,-33.1237258911133,0.32,3.37,4.45,5.56,4.44,7.54,3.14,2.68,3.9
138.473678588867,-34.782169342041,0.32,2.91,3.84,7.69,5.93,10.87,3.41,2.91,4.22
146.894729614258,-19.244197845459,0.32,2.64,3.67,278.5,120.81,913.17,7.78,5.63,12.5
138.473663330078,-34.8685684204102,0.32,2.99,3.92,7.66,5.92,10.83,3.41,2.9,4.22
144.631576538086,-38.2900199890137,0.32,1.75,2.96,45.56,26.43,97.55,9.3,6.67,14.95
130.789474487305,-12.4139251708984,0.32,4.24,5.22,935.39,362.83,3465.32,5.55,4.33,7.88
138.631576538086,-35.5991897583008,0.32,2.03,2.89,16.53,11.59,26.6,9.47,6.77,15.28
117.894737243652,-35.1271858215332,0.32,1.52,4.3,55.63,33.94,107.12,2.81,2.46,3.35
135.894729614258,-34.6957054138184,0.32,2.1,4.03,24.11,15.9,42.42,4.87,3.89,6.7
121.894737243652,-33.8696632385254,0.32,1.62,1.99,40.43,24.89,78,11.59,8.52,17.49
133.052627563477,-32.1043510437012,0.32,2.6,4.64,10.31,7.7,15.22,2.81,2.45,3.38
114.57893371582,-28.7936973571777,0.32,1.4,3.33,171.17,81.81,482.2,4.62,3.72,6.23
151.789474487305,-32.9031105041504,0.32,1.62,3.7,3152.84,945.09,17587.86,3.5,2.91,4.57
144.894729614258,-37.8758659362793,0.32,1.51,1.81,44.93,25.43,101.25,14.63,10.01,24.83
152.421051025391,-24.754753112793,0.32,2.37,3.34,948.2,354.78,3763.27,9.54,6.71,15.93
115.631576538086,-33.2998161315918,0.32,1.65,4.15,28.34,18.29,51.3,2.8,2.44,3.38
147.368423461914,-42.9977073669434,0.32,1.58,1.88,82.5,43.53,202.93,34.95,21.06,70.99
118.578948974609,-20.2841644287109,0.32,4.04,5.45,93.19,48.1,237,3.14,2.62,4.12
128.105255126953,-15.3765287399292,0.32,4.13,5.21,3.61330404032241e+61,9.75022796133411e+60,1.37248334363724e+62,11.62,7.95,20.16
153.157897949219,-27.3544616699219,0.32,1.97,3.47,32058.51,6918.68,282670.43,5.18,4.01,7.54
144.421051025391,-38.2900199890137,0.32,1.5,2.28,59.26,32.78,136.47,13.56,9.21,23.53
145.894729614258,-41.0038528442383,0.32,2.4,3.54,68.78,38.26,154.89,6.23,4.82,8.9
113.631576538086,-24.8980293273926,0.32,1.46,2.41,225035.27,37200.1,2860999.88,12.16,8.18,21.74
149.263153076172,-21.1209907531738,0.32,3.93,4.91,754.64,291.74,2860.91,8.18,5.91,13.06
146.789474487305,-41.0435485839844,0.32,2.36,4.04,82.58,43.72,201.82,4.29,3.51,5.67
122.210517883301,-17.997501373291,0.32,5.57,6.12,45.45,26.77,94.58,9.97,7.03,16.51
145.842102050781,-16.8426761627197,0.32,2.21,2.94,1071.68,394.65,4345.34,36.3,21.06,79.32
136.684204101562,-12.2082605361938,0.32,2.42,2.81,253.29,113.75,781.27,31.33,18.77,64.91
141.789474487305,-12.6707773208618,0.32,2.34,4.13,24.61,14.98,50.52,2.81,2.41,3.47
151.421051025391,-23.9397563934326,0.32,2.87,3.81,1620.43,561.34,7165.65,12.62,8.53,22.22
159.052627563477,-31.5230770111084,0.32,1.84,4.23,8399.9,2245.76,54131.52,3.59,2.97,4.67
147.947357177734,-37.9173851013184,0.32,1.34,2.68,131,67.34,327.19,4.19,3.39,5.69
151.315795898438,-23.7953815460205,0.32,2.88,3.9,1121.43,411.78,4556.19,9.83,6.93,16.27
145.105270385742,-38.4962158203125,0.32,2.42,3.94,41.26,23.88,89.53,5.51,4.27,7.91
149.947372436523,-37.0825157165527,0.32,1.65,2.66,1526.77,513.52,7197.4,7.64,5.64,11.78
136.421051025391,-13.7977819442749,0.32,1.93,2.42,57.12,31.1,136.24,9.7,6.92,15.66
141.894729614258,-10.6091213226318,0.32,2.66,4.36,54.44,29.82,128.81,3.19,2.71,4.01
140.684204101562,-38.0832366943359,0.32,1.48,4.22,124.73,66.99,288.12,4.02,3.31,5.27
151.315795898438,-33.8259620666504,0.32,1.65,3.74,13235.87,3262.83,96495.5,3.39,2.87,4.25
116.736831665039,-20.5800476074219,0.32,4.03,5.49,121.37,60.95,318.96,3.03,2.53,3.96
137.57893371582,-33.9133415222168,0.32,2.57,4.03,7.74,5.89,11.22,2.88,2.49,3.51
147.105270385742,-19.2938747406006,0.32,2.52,2.84,506.66,200.58,1895.17,38.69,22.32,84.94
146.368408203125,-41.1228675842285,0.32,2.4,4.01,81.4,43.54,195.14,4.22,3.47,5.53
151.263153076172,-34.0006294250488,0.32,1.64,3.85,12659.13,3144.99,91214.57,3.19,2.71,4
149.315780639648,-21.268180847168,0.32,4.1,5.15,657.12,259.6,2414.25,7.12,5.26,11.02
146.157897949219,-17.5966548919678,0.32,2.2,3.29,505.63,207.84,1755.01,9.2,6.45,15.52
148.052627563477,-42.5341911315918,0.32,1.46,2.12,129.11,64.56,340.4,12.18,8.57,19.86
146.368423461914,-18.4972763061523,0.32,2.54,3.49,420.57,169.29,1546.75,10.18,7,17.72
115.157897949219,-21.6110496520996,0.32,2.02,3.66,186,82.91,599.12,2.79,2.36,3.58
117.157897949219,-20.5800476074219,0.32,4.08,5.59,61.79,32.68,155.31,2.78,2.36,3.55
