"state","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth",122.218292236328,-18.0007991790771,0.54,5.79,6.34,625.74,256.07,2155.21,48.38,26.78,113.31
"NT",136.368423461914,-13.8599948883057,0.54,2.26,2.71,187.08,84,593.24,30.74,17.97,67.19
"QLDNorth",147.105270385742,-19.2773990631104,0.54,2.74,3.06,38197.7,7902.25,361203.69,472.91,187.42,1776.18
"QLDNorth",150.793533325195,-23.122766494751,0.54,3.35,4.36,29206.01,6960.96,213406.02,41.81,23.62,95.18
"NSW",150.913467407227,-34.4770774841309,0.54,1.84,3.53,15456547.49,1306789.43,523019494.87,10.59,7.54,17.08
"VIC",144,-38.5785293579102,0.54,2.21,3.23,1886.52,641.04,8558.81,44.84,25.42,100.63
"SA",138.421051025391,-35.1084899902344,0.54,3.19,4.36,33.43,21.45,60.56,6.62,5.18,9.22
"SA",133.631576538086,-32.1934509277344,0.54,2.91,4.85,31.21,20.22,55.76,4.48,3.71,5.74
"WASouth",121.897087097168,-33.8707008361816,0.54,1.84,2.21,510.45,225.49,1544.52,62.25,37.04,124.53
"TAS",145.914001464844,-40.9999961853027,0.54,2.62,3.9,1311.62,483.59,5223.41,17.44,11.75,30.13
"WASouth",115.684211730957,-31.8255958557129,0.54,1.72,4.68,764.96,324.21,2434.79,4.01,3.34,5.13
"NT",130.845794677734,-12.2999992370605,0.54,4.45,5.35,146014.8,28764.27,1365196.38,22.87,14.58,43.04
"VIC",145.224685668945,-38.5499954223633,0.54,2.63,4,556.17,219.25,2080.94,21.81,13.75,42.15
"VIC",141.631576538086,-38.4138069152832,0.54,1.7,3.53,2802.07,993.92,11394.47,26.03,15.88,52.88
"TAS",148.099990844727,-42.5463905334473,0.54,1.68,2.34,3624.6,1126.11,18602.44,71.11,39.03,163.87
"WASouth",115.736831665039,-32.0597686767578,0.54,1.72,4.63,702.04,297.04,2253.47,3.79,3.18,4.82
"NSW",151.315795898438,-33.8696632385254,0.54,1.87,4.03,8508335.05,809733.35,239000722.67,7.41,5.64,10.76
"SA",138,-33.1237258911133,0.54,3.59,4.67,18.11,12.39,30.26,6.88,5.27,9.94
"SA",138.473678588867,-34.782169342041,0.54,3.13,4.06,31.23,20.19,56.02,7.92,6.05,11.38
"QLDNorth",146.894729614258,-19.244197845459,0.54,2.86,3.89,13354.56,3262.57,99067.52,31.91,18.47,70.95
"SA",138.473663330078,-34.8685684204102,0.54,3.21,4.14,31.08,20.11,55.69,7.91,6.05,11.36
"VIC",144.631576538086,-38.2900199890137,0.54,1.97,3.18,629.21,251.11,2274.03,43.08,24.57,95.93
"NT",130.789474487305,-12.4139251708984,0.54,4.46,5.44,103169,20869.34,940408.36,18.05,11.87,32.55
"SA",138.631576538086,-35.5991897583008,0.54,2.25,3.11,113.78,62.48,253.86,44.41,25.2,99.6
"WASouth",117.894737243652,-35.1271858215332,0.54,1.74,4.52,881.5,382.91,2663.37,5.71,4.58,7.68
"SA",135.894729614258,-34.6957054138184,0.54,2.32,4.25,215.08,106.45,557.76,14.48,9.88,24.75
"WASouth",121.894737243652,-33.8696632385254,0.54,1.84,2.21,514.31,226.89,1559.24,62.49,37.16,125.12
"SA",133.052627563477,-32.1043510437012,0.54,2.82,4.86,51.25,31.3,98.93,5.71,4.54,7.8
"WASouth",114.57893371582,-28.7936973571777,0.54,1.62,3.55,5873.72,1689.76,33724.32,13.22,9.19,21.92
"NSW",151.789474487305,-32.9031105041504,0.54,1.84,3.92,801786.84,104980.38,14581318.04,8.3,6.06,12.97
"VIC",144.894729614258,-37.8758659362793,0.54,1.73,2.03,614.68,235.18,2421.52,92.55,48.79,225.94
"QLDSouth",152.421051025391,-24.754753112793,0.54,2.59,3.56,105565.53,20093.42,1080853.72,44.98,24.81,106.86
"WASouth",115.631576538086,-33.2998161315918,0.54,1.87,4.37,282.43,134.86,768.91,5.67,4.5,7.8
"TAS",147.368423461914,-42.9977073669434,0.54,1.8,2.1,1714.13,582.83,7828.2,402.26,171.08,1330.18
"WANorth",118.578948974609,-20.2841644287109,0.54,4.26,5.67,2105.14,689.75,10171.27,6.9,5.07,10.89
"WANorth",128.105255126953,-15.3765287399292,0.54,4.35,5.43,7.56769908787933e+103,8.2977896996698e+102,7.19520549447833e+104,62.73,33.03,158.94
