NCRA,central,lga,LGA,longitude,latitude,SLR,SWL_AEPPC,MTWL_AEPPC,SWL_MFSLR_50,SWL_MFSLR_10,SWL_MFSLR_90,MTWL_MFSLR_50,MTWL_MFSLR_10,MTWL_MFSLR_90
WANorth,WA,Broome,Broome,122.2182922,-18.00079918,0.06,5.12,5.53,2.05,1.85,2.35,1.54,1.44,1.69
NT,NT,East Arnhem,East_Arnhem,136.3684235,-13.85999489,0.06,1.54,1.86,1.79,1.64,2.03,1.46,1.38,1.6
QLDNorth,QLD,Townsville,Townsville,147.1052704,-19.27739906,0.06,2.13,2.38,3.23,2.71,4.15,1.98,1.79,2.3
QLDNorth,QLD,Livingstone,Livingstone,150.7935333,-23.12276649,0.06,2.75,3.54,3.13,2.67,3.91,1.51,1.42,1.66
NSW,NSW,Wollongong,Wollongong,150.9134674,-34.47707748,0.06,1.28,2.52,6.29,4.78,9.31,1.3,1.25,1.37
VIC,VIC,Surf Coast,Surf_Coast,144,-38.57852936,0.06,1.56,2.42,2.31,2.05,2.73,1.53,1.43,1.67
SA,SA,Onkaparinga,Onkaparinga,138.421051,-35.10848999,0.06,2.35,3.21,1.48,1.41,1.58,1.23,1.2,1.28
SA,SA,Ceduna,Ceduna,133.6315765,-32.19345093,0.06,2.06,3.52,1.47,1.4,1.56,1.18,1.16,1.21
WASouth,WA,Esperance,Esperance,121.8970871,-33.87070084,0.06,1.16,1.42,2,1.83,2.26,1.58,1.49,1.71
TAS,TAS,Burnie,Burnie,145.9140015,-40.99999619,0.06,1.96,2.97,2.22,1.99,2.59,1.37,1.31,1.46
WASouth,WA,Joondalup,Joondalup,115.6842117,-31.82559586,0.06,1.05,3.28,2.09,1.9,2.38,1.17,1.14,1.2
NT,NT,Darwin,Darwin,130.8457947,-12.29999924,0.06,3.86,4.47,3.75,3.13,4.8,1.42,1.35,1.52
VIC,VIC,Bass Coast,Bass_Coast,145.2246857,-38.54999542,0.06,1.95,3.11,2.02,1.82,2.34,1.41,1.34,1.52
VIC,VIC,Glenelg,Glenelg,141.6315765,-38.41380692,0.06,1.06,2.66,2.42,2.15,2.82,1.44,1.36,1.55
TAS,TAS,Glamorgan-Spring Bay,Glamorgan-Spring_Bay,148.0999908,-42.54639053,0.06,1.04,1.56,2.49,2.18,2.98,1.61,1.5,1.76
WASouth,WA,Fremantle,Fremantle,115.7368317,-32.05976868,0.06,1.04,3.2,2.07,1.88,2.36,1.16,1.14,1.19
NSW,NSW,Waverley,Waverley,151.3157959,-33.86966324,0.06,1.31,2.92,5.89,4.53,8.53,1.25,1.21,1.3
SA,SA,Port Pirie,Port_Pirie,138,-33.12372589,0.06,2.67,3.53,1.38,1.32,1.46,1.24,1.2,1.29
SA,SA,Port Adelaide Enfield,Port_Adelaide_Enfield,138.4736786,-34.78216934,0.06,2.28,2.97,1.47,1.4,1.56,1.26,1.22,1.31
QLDNorth,QLD,Townsville,Townsville,146.8947296,-19.24419785,0.06,2.24,3.04,2.87,2.46,3.59,1.47,1.38,1.61
SA,SA,Charles Sturt,Charles_Sturt,138.4736633,-34.86856842,0.06,2.36,3.04,1.46,1.4,1.56,1.26,1.22,1.31
VIC,VIC,Queenscliffe,Queenscliffe,144.6315765,-38.29001999,0.06,1.3,2.36,2.05,1.85,2.36,1.52,1.43,1.66
NT,NT,Darwin,Darwin,130.7894745,-12.41392517,0.06,3.87,4.52,3.61,3.02,4.61,1.38,1.32,1.47
SA,SA,Victor Harbor,Victor_Harbor,138.6315765,-35.59918976,0.06,1.5,2.3,1.69,1.58,1.85,1.52,1.43,1.67
WASouth,WA,Albany,Albany,117.8947372,-35.12718582,0.06,1.07,3.31,2.12,1.94,2.4,1.21,1.18,1.25
SA,SA,Unincorporated SA,Unincorporated_SA,135.8947296,-34.69570541,0.06,1.61,3.29,1.82,1.68,2.02,1.35,1.29,1.43
WASouth,WA,Esperance,Esperance,121.8947372,-33.86966324,0.06,1.16,1.42,2,1.83,2.26,1.58,1.49,1.71
SA,SA,Unincorporated SA,Unincorporated_SA,133.0526276,-32.10435104,0.06,2.02,3.65,1.55,1.47,1.67,1.21,1.18,1.26
WASouth,WA,Greater Geraldton,Greater_Geraldton,114.5789337,-28.79369736,0.06,1,2.58,2.62,2.28,3.18,1.33,1.28,1.41
NSW,NSW,Newcastle,Newcastle,151.7894745,-32.9031105,0.06,1.27,2.84,4.53,3.61,6.25,1.27,1.22,1.33
VIC,VIC,Hobsons Bay,Hobsons_Bay,144.8947296,-37.87586594,0.06,1.05,1.27,2.04,1.83,2.38,1.65,1.54,1.83
