"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.218292236328,-18.0007991790771,0.09,5.34,5.89,2.92,2.52,3.59,1.91,1.73,2.2
"NT","East Arnhem",136.368423461914,-13.8599948883057,0.09,1.81,2.26,2.39,2.09,2.9,1.77,1.62,2.02
"QLDNorth","Townsville",147.105270385742,-19.2773990631104,0.09,2.29,2.61,5.8,4.46,8.44,2.79,2.39,3.48
"QLDNorth","Livingstone",150.793533325195,-23.122766494751,0.09,2.9,3.91,5.55,4.37,7.73,1.86,1.69,2.14
"NSW","Wollongong",150.913467407227,-34.4770774841309,0.09,1.39,3.08,15.78,10.46,28.38,1.48,1.4,1.6
"VIC","Surf Coast",144,-38.5785293579102,0.09,1.76,2.78,3.52,2.94,4.52,1.88,1.71,2.16
"SA","Onkaparinga",138.421051025391,-35.1084899902344,0.09,2.74,3.91,1.79,1.67,1.98,1.37,1.32,1.45
"SA","Ceduna",133.631576538086,-32.1934509277344,0.09,2.46,4.4,1.77,1.65,1.95,1.28,1.24,1.34
"WASouth","Esperance",121.897087097168,-33.8707008361816,0.09,1.39,1.76,2.83,2.47,3.4,1.99,1.83,2.23
"TAS","Burnie",145.914001464844,-40.9999961853027,0.09,2.17,3.45,3.31,2.8,4.17,1.61,1.51,1.76
"WASouth","Joondalup",115.684211730957,-31.8255958557129,0.09,1.27,4.23,3.02,2.62,3.67,1.26,1.22,1.31
"NT","Darwin",130.845794677734,-12.2999992370605,0.09,4,4.9,7.26,5.54,10.53,1.68,1.56,1.87
"VIC","Bass Coast",145.224685668945,-38.5499954223633,0.09,2.18,3.55,2.87,2.46,3.57,1.67,1.55,1.87
"VIC","Glenelg",141.631576538086,-38.4138069152832,0.09,1.25,3.08,3.75,3.16,4.74,1.72,1.59,1.94
"TAS","Glamorgan-Spring Bay",148.099990844727,-42.5463905334473,0.09,1.23,1.89,3.92,3.23,5.15,2.04,1.84,2.34
"WASouth","Fremantle",115.736831665039,-32.0597686767578,0.09,1.27,4.18,2.98,2.58,3.62,1.25,1.21,1.3
"NSW","Waverley",151.315795898438,-33.8696632385254,0.09,1.42,3.58,14.29,9.65,24.91,1.4,1.33,1.49
"SA","Port Pirie",138,-33.1237258911133,0.09,3.14,4.22,1.62,1.52,1.77,1.38,1.32,1.47
"SA","Port Adelaide Enfield",138.473678588867,-34.782169342041,0.09,2.68,3.61,1.77,1.65,1.96,1.41,1.35,1.5
"QLDNorth","Townsville",146.894729614258,-19.244197845459,0.09,2.41,3.44,4.87,3.85,6.8,1.78,1.63,2.03
"SA","Charles Sturt",138.473663330078,-34.8685684204102,0.09,2.76,3.69,1.77,1.65,1.95,1.41,1.35,1.5
"VIC","Queenscliffe",144.631576538086,-38.2900199890137,0.09,1.52,2.73,2.93,2.51,3.63,1.87,1.71,2.14
"NT","Darwin",130.789474487305,-12.4139251708984,0.09,4.01,4.99,6.85,5.25,9.9,1.62,1.51,1.79
"SA","Victor Harbor",138.631576538086,-35.5991897583008,0.09,1.8,2.66,2.2,1.99,2.52,1.88,1.71,2.15
"WASouth","Albany",117.894737243652,-35.1271858215332,0.09,1.29,4.07,3.1,2.69,3.72,1.34,1.29,1.4
"SA","Unincorporated SA",135.894729614258,-34.6957054138184,0.09,1.87,3.8,2.45,2.18,2.87,1.56,1.46,1.71
"WASouth","Esperance",121.894737243652,-33.8696632385254,0.09,1.39,1.76,2.83,2.47,3.41,1.99,1.83,2.24
"SA","Unincorporated SA",133.052627563477,-32.1043510437012,0.09,2.37,4.41,1.93,1.78,2.15,1.34,1.29,1.41
"WASouth","Greater Geraldton",114.57893371582,-28.7936973571777,0.09,1.17,3.1,4.25,3.45,5.68,1.54,1.45,1.67
"NSW","Newcastle",151.789474487305,-32.9031105041504,0.09,1.39,3.47,9.64,6.87,15.63,1.42,1.35,1.53
"VIC","Hobsons Bay",144.894729614258,-37.8758659362793,0.09,1.28,1.58,2.92,2.48,3.66,2.13,1.91,2.47
"QLDSouth","Bundaberg",152.421051025391,-24.754753112793,0.09,2.14,3.11,6.87,5.21,10.13,1.89,1.71,2.18
"WASouth","Bunbury",115.631576538086,-33.2998161315918,0.09,1.42,3.92,2.56,2.26,3.03,1.34,1.28,1.41
"TAS","Clarence",147.368423461914,-42.9977073669434,0.09,1.35,1.65,3.46,2.89,4.46,2.72,2.36,3.32
"WANorth","Port Hedland",118.578948974609,-20.2841644287109,0.09,3.81,5.22,3.58,2.97,4.65,1.38,1.31,1.49
"WANorth","Wyndham-East Kimberley",128.105255126953,-15.3765287399292,0.09,3.9,4.98,205665119625286656,142285421244942640,299346281016122816,1.99,1.79,2.33
"QLDSouth","Brisbane",153.157897949219,-27.3544616699219,0.09,1.74,3.24,18.51,12.02,34.13,1.59,1.48,1.77
"VIC","Greater Geelong",144.421051025391,-38.2900199890137,0.09,1.27,2.05,3.15,2.67,3.99,2.08,1.87,2.43
"TAS","Burnie",145.894729614258,-41.0038528442383,0.09,2.17,3.31,3.29,2.79,4.13,1.67,1.56,1.85
"WANorth","Carnarvon",113.631576538086,-24.8980293273926,0.09,1.23,2.18,32.01,19.3,65.45,2.02,1.81,2.38
"QLDNorth","Mackay",149.263153076172,-21.1209907531738,0.09,3.7,4.68,6.45,4.93,9.38,1.81,1.65,2.06
"TAS","George Town",146.789474487305,-41.0435485839844,0.09,2.13,3.81,3.46,2.89,4.45,1.51,1.42,1.63
"WANorth","Broome",122.210517883301,-17.997501373291,0.09,5.34,5.89,2.93,2.52,3.59,1.91,1.73,2.2
"QLDNorth","Cairns",145.842102050781,-16.8426761627197,0.09,1.98,2.71,7.12,5.37,10.55,2.75,2.36,3.42
"NT","East Arnhem",136.684204101562,-12.2082605361938,0.09,2.19,2.58,4.74,3.79,6.51,2.63,2.28,3.23
"QLDNorth","Aurukun",141.789474487305,-12.6707773208618,0.09,2.11,3.9,2.46,2.14,3.01,1.34,1.28,1.42
"QLDNorth","Gladstone",151.421051025391,-23.9397563934326,0.09,2.64,3.58,7.99,5.93,12.14,2.04,1.83,2.39
"NSW","Unincorporated NSW",159.052627563477,-31.5230770111084,0.09,1.61,4,12.7,8.76,21.44,1.43,1.36,1.54
"VIC","East Gippsland",147.947357177734,-37.9173851013184,0.09,1.11,2.45,3.94,3.27,5.1,1.5,1.41,1.63
"QLDNorth","Gladstone",151.315795898438,-23.7953815460205,0.09,2.65,3.67,7.21,5.44,10.69,1.9,1.72,2.19
"VIC","Bass Coast",145.105270385742,-38.4962158203125,0.09,2.19,3.71,2.85,2.44,3.54,1.62,1.5,1.79
"NSW","Bega Valley",149.947372436523,-37.0825157165527,0.09,1.42,2.43,7.86,5.79,12.16,1.77,1.63,2
"NT","East Arnhem",136.421051025391,-13.7977819442749,0.09,1.7,2.19,3.12,2.63,3.98,1.89,1.72,2.17
"QLDNorth","Torres",141.894729614258,-10.6091213226318,0.09,2.43,4.13,3.08,2.6,3.92,1.39,1.32,1.48
"SA","Grant",140.684204101562,-38.0832366943359,0.09,1.25,3.99,3.89,3.26,4.92,1.48,1.4,1.6
"NSW","Northern Beaches",151.315795898438,-33.8259620666504,0.09,1.42,3.51,14.43,9.73,25.23,1.41,1.35,1.5
"WANorth","Karratha",116.736831665039,-20.5800476074219,0.09,3.8,5.26,3.86,3.18,5.06,1.37,1.3,1.47
"SA","Copper Coast",137.57893371582,-33.9133415222168,0.09,2.34,3.8,1.78,1.65,1.97,1.35,1.29,1.42
"QLDNorth","Townsville",147.105270385742,-19.2938747406006,0.09,2.29,2.61,5.76,4.44,8.35,2.8,2.4,3.49
"TAS","Devonport",146.368408203125,-41.1228675842285,0.09,2.17,3.78,3.45,2.89,4.41,1.5,1.42,1.62
"NSW","Randwick",151.263153076172,-34.0006294250488,0.09,1.41,3.62,14.25,9.63,24.83,1.39,1.32,1.48
