"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.9,6.29,6.49,2959.91,1046.68,12063,1473.4,574.81,5239.52
"NT","East Arnhem",136.368728637695,-13.844162940979,0.9,2.72,3.17,1358.08,500.85,5392.01,163.05,80.34,434.52
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.9,3.23,4.49,62913.34,14654.91,455136.78,125.09,62.89,327.14
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.9,3.9,5,17038.05,4690.58,98482.34,171.14,85.05,447.2
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.9,2.39,3.13,178625.05,39943.66,1308081.89,482.05,210.06,1501.57
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.9,2.6,2.93,125061.02,25765.41,1086280.06,24740.35,6174.5,167566.44
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.9,3.3,4.17,9979.5,2922.66,53264.08,423.67,191.44,1244.29
"SA","Ceduna",133.674819946289,-32.189151763916,0.9,3.13,5.39,1332.68,487.63,5379.2,23.37,15.39,41.27
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.9,2.23,2.82,17094.64,4655.86,100777.14,827.44,343.85,2716.93
"TAS","Burnie",145.898666381836,-41.0429649353027,0.9,2.96,3.67,290469.79,53590.8,2929742.31,6065.24,1746.68,34662.77
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.9,2.1,4.52,34428.23,8840.93,216306.42,28.66,18.31,52.82
"NT","Darwin",130.873245239258,-12.3418684005737,0.9,5,5.08,30436.04,8360.51,170577.16,11715.93,3664.35,54971.43
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.9,2.94,3.63,178705.95,35979.48,1582262.52,3684.97,1182.26,17749.81
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.9,1.99,2.89,29319541.66,2968460.35,665231067.25,2542.08,863.86,11272.48
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.9,1.99,2.78,8700266.61,1020381.93,162746977.38,1034.53,411.84,3624.49
"WASouth","Fremantle",115.73705291748,-32.0583763122559,0.9,2.1,3.26,26960.02,7410.2,151971.01,199.01,98.89,514.86
"NSW","Waverley",151.290802001953,-33.871639251709,0.9,2.4,3.6,319099.36,65470.82,2636615.67,127.1,67.82,296.8
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.9,3.81,4.23,317.82,151.51,861.65,269.3,127.81,743.78
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,0.9,3.25,3.55,5068.03,1647.03,23314.79,1336.04,522.62,4756.48
"QLDNorth","Townsville",146.846267700195,-19.251106262207,0.9,3.35,4.38,33603.49,8717.22,207558.47,264.17,119.76,797.21
"SA","Charles Sturt",138.472106933594,-34.8702430725098,0.9,3.32,3.77,5837.87,1861.39,27566.37,841.11,351.37,2732.74
"VIC","Queenscliffe",144.617172241211,-38.2871551513672,0.9,2.24,3.37,1574844.18,228250.54,22255226.48,583.38,244.28,1933.12
