"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0,1.14,1,1.01,0.99
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0,1.43,1,1.02,0.98
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0,1.4,1,1.01,0.99
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0,2.42,1,1.02,0.98
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0,2.42,1,1.02,0.98
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0,1.38,1,1.01,0.99
"'bowen-59320-aus-bom'",35,148.25,-20.025,0,2.39,1,1.02,0.98
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0,1.72,1,1.01,0.99
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0,1.72,1,1.01,0.99
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0,5.59,1,1.02,0.98
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0,5.59,1,1.02,0.98
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0,1.5,1,1.01,0.99
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0,1.44,1,1.02,0.98
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0,2.27,1,1.01,0.99
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0,2.27,1,1.01,0.99
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0,2.13,1,1.01,0.99
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0,2.13,1,1.01,0.99
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0,1.05,1,1.02,0.98
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0,2.11,1,1.01,0.99
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0,1.2,1,1.02,0.98
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0,2.54,1,1.02,0.98
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0,2.47,1,1.02,0.98
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0,2.54,1,1.02,0.98
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0,2.91,1,1.04,0.96
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0,1.5,1,1.02,0.98
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0,1.5,1,1.02,0.98
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0,2.3,1,1.02,0.98
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0,1.16,1,1.01,0.99
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0,1.58,1,1.02,0.99
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0,1.98,1,1.02,0.98
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0,2.09,1,1.02,0.98
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0,1.38,1,1.02,0.99
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0,1.58,1,1.01,0.99
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0,4.06,1,1.01,0.99
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0,4.06,1,1.01,0.99
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0,2.13,1,1.02,0.98
