"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"NSW","Bega Valley",149.979293823242,-37.4584083557129,0.06,1.5,2.57,2.38,2.13,2.77,1.42,1.35,1.53
"NT","East Arnhem",136.57878112793,-13.0233087539673,0.06,2.35,2.89,1.85,1.7,2.08,1.49,1.4,1.61
"QLDNorth","Torres",142.168746948242,-10.2303152084351,0.06,2.33,2.97,2.02,1.84,2.3,1.49,1.42,1.6
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.06,1.8,2.38,3.16,2.72,3.87,1.7,1.58,1.89
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.06,2.23,2.93,1.7,1.58,1.88,1.46,1.38,1.56
"TAS","Glamorgan-Spring Bay",148.329803466797,-42.0832252502441,0.06,1.13,1.89,3.26,2.77,4.07,1.67,1.55,1.84
"VIC","Surf Coast",144.299911499023,-38.3594818115234,0.06,1.23,2.01,2.2,1.98,2.53,1.7,1.57,1.9
"WANorth","Karratha",116.761528015137,-20.5944957733154,0.06,3.89,4.29,1.91,1.75,2.16,1.48,1.4,1.61
"WASouth","Albany",117.89533996582,-35.1227531433105,0.06,1.24,2.41,2.2,1.99,2.53,1.5,1.42,1.61
NA,"Whitsunday",149.818756103516,-20.0906581878662,0.06,2.75,3.99,2.31,2.07,2.68,1.32,1.27,1.38
"NSW","Bega Valley",149.979293823242,-37.4584083557129,0.1,1.54,2.61,4.24,3.52,5.46,1.8,1.65,2.02
"NT","East Arnhem",136.584808349609,-12.8217754364014,0.1,2.37,2.87,2.93,2.53,3.59,1.95,1.77,2.22
"QLDNorth","Livingstone",150.836380004883,-23.2843856811523,0.1,3.06,3.77,3.23,2.76,3.99,1.94,1.78,2.2
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.1,1.84,2.42,6.8,5.29,9.55,2.42,2.13,2.88
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.1,2.27,2.97,2.43,2.15,2.88,1.87,1.72,2.1
"TAS","George Town",146.880859375,-41.0161895751953,0.1,2.15,2.87,3.92,3.29,4.98,2.36,2.11,2.74
"VIC","Mornington Peninsula",145.028579711914,-38.2162742614746,0.1,1.24,1.84,3.78,3.18,4.76,2.43,2.15,2.87
"WANorth","Wyndham-East Kimberley",126.000129699707,-14.2587823867798,0.1,4.31,4.93,3.13,2.69,3.86,1.91,1.74,2.17
"WASouth","Albany",117.89533996582,-35.1227531433105,0.1,1.28,2.45,3.73,3.14,4.7,1.96,1.79,2.21
NA,"Mackay",150.928894042969,-20.4258937835693,0.1,3.78,5.23,5,4.04,6.67,1.59,1.49,1.74
"NSW","Bega Valley",149.979293823242,-37.4584083557129,0.2,1.64,2.71,17.98,12.36,29.82,3.24,2.73,4.1
"NT","East Arnhem",136.584808349609,-12.8217754364014,0.2,2.47,2.97,8.59,6.39,12.92,3.79,3.13,4.95
"QLDNorth","Livingstone",150.209350585938,-22.3132019042969,0.2,3.2,3.75,8.43,6.34,12.43,3.77,3.15,4.82
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.2,1.94,2.52,46.19,27.94,91.28,5.85,4.55,8.3
"SA","Whyalla",137.786407470703,-32.9926872253418,0.2,2.95,3.36,3.63,3.07,4.53,3.5,2.97,4.37
"TAS","George Town",146.880859375,-41.0161895751953,0.2,2.25,2.97,15.39,10.81,24.78,5.55,4.43,7.51
"VIC","Mornington Peninsula",145.028579711914,-38.2162742614746,0.2,1.34,1.94,14.29,10.14,22.69,5.9,4.64,8.21
"WANorth","Shark Bay",113.431434631348,-26.5368385314941,0.2,1.51,3.26,24.66,16.17,43.71,3.66,3.08,4.62
"WASouth","Albany",117.89533996582,-35.1227531433105,0.2,1.38,2.55,13.91,9.88,22.09,3.84,3.22,4.87
NA,"Mackay",150.928894042969,-20.4258937835693,0.2,3.88,5.33,24.99,16.35,44.46,2.52,2.22,3.01
"NSW","Bega Valley",149.979293823242,-37.4584083557129,0.38,1.82,2.89,242.22,118.87,633.24,9.31,6.76,14.57
"NT","East Arnhem",136.584808349609,-12.8217754364014,0.38,2.65,3.15,59.5,33.91,129.25,12.57,8.76,20.86
"QLDNorth","Livingstone",150.209350585938,-22.3132019042969,0.38,3.38,3.93,57.46,33.45,120.18,12.42,8.83,19.85
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.38,2.12,2.7,1454.01,559.58,5305.23,28.67,17.8,55.8
"SA","Franklin Harbour",136.99674987793,-33.7267532348633,0.38,2.43,3.29,29.08,18.75,52.64,10.8,7.85,16.71
"TAS","George Town",146.880859375,-41.0161895751953,0.38,2.43,3.15,180.26,92.16,445.37,25.93,16.94,46.15
"VIC","Mornington Peninsula",145.028579711914,-38.2162742614746,0.38,1.52,2.12,156.5,81.53,376.9,29.17,18.47,54.6
"WANorth","Derby-West Kimberley",123.475112915039,-17.3458309173584,0.38,5.66,6.14,73.62,41.14,163.53,11.78,8.21,19.65
"WASouth","Albany",117.89533996582,-35.1227531433105,0.38,1.56,2.73,148.73,77.63,358.04,12.89,9.23,20.26
NA,"Mackay",150.928894042969,-20.4258937835693,0.38,4.06,5.51,452.71,202.19,1352.62,5.8,4.54,8.13
"NSW","Unincorp. Other Territories",150.691772460938,-35.2010726928711,0.6,2.09,3.08,2262.2,868.35,8080.75,34.04,22.07,60.44
"NT","East Arnhem",136.584808349609,-12.8217754364014,0.6,2.87,3.37,633.69,260.8,2157.04,54.44,30.75,121.1
"QLDNorth","Whitsunday",148.712020874023,-20.5181045532227,0.6,3.54,3.74,116.09,60.54,284.55,53.43,30.8,114.47
"QLDSouth","Bundaberg",152.196136474609,-24.648962020874,0.6,2.72,3.28,15014.19,4119.95,88046.72,199.44,93.7,574
"SA","Franklin Harbour",136.99674987793,-33.7267532348633,0.6,2.65,3.51,204.63,102.34,522.23,42.85,25.89,85.28
"TAS","George Town",146.880859375,-41.0161895751953,0.6,2.65,3.37,3646.97,1264.42,15212.3,170.75,87.19,424.28
"VIC","Mornington Peninsula",145.028579711914,-38.2162742614746,0.6,1.74,2.34,2917.44,1041.93,11687.82,205.61,99.92,553.25
"WANorth","Derby-West Kimberley",123.475112915039,-17.3458309173584,0.6,5.88,6.36,886.9,353.82,3127.14,49.13,27.76,110.21
"WASouth","Dundas",125.125335693359,-32.7073822021484,0.6,1.85,3.16,3153.98,1123.19,12641.97,56.61,31.77,127.18
