"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"NSW","Lake Macquarie",151.689636230469,-33.0369644165039,0.06,1.34,2.53,2.37,2.12,2.74,1.37,1.32,1.45
"NT","Unincorporated NT",130.514770507812,-12.6257009506226,0.06,3.95,2.3,2.06,1.88,2.34,1.51,1.43,1.62
"QLDNorth","Whitsunday",148.560501098633,-19.9888191223145,0.06,2.15,2.04,1.95,1.78,2.2,1.44,1.37,1.54
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.06,1.35,2.01,2.92,2.55,3.52,1.5,1.42,1.61
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.06,2.23,3.97,1.85,1.7,2.07,1.25,1.22,1.31
"TAS","Tasman",147.862182617188,-43.2088279724121,0.06,1.13,1.92,2.62,2.29,3.14,1.69,1.57,1.86
"VIC","Greater Geelong",144.635314941406,-38.1060447692871,0.06,1.03,2.7,2.49,2.22,2.92,1.37,1.31,1.46
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.06,5.14,5.44,1.89,1.74,2.12,1.72,1.59,1.93
"WASouth","Augusta Margaret River",115.114120483398,-34.3457527160645,0.06,1.13,1.64,2.12,1.92,2.43,1.94,1.77,2.19
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.06,2.58,3.34,2.3,2.06,2.67,1.31,1.26,1.38
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.1,1.38,2.54,4.21,3.52,5.36,1.6,1.5,1.74
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.1,4.09,1.71,3.35,2.89,4.07,1.68,1.57,1.85
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.1,3.85,4.18,3.06,2.63,3.74,1.9,1.74,2.14
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.1,1.39,2.05,5.98,4.75,8.15,1.96,1.78,2.22
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.1,2.27,4.01,2.78,2.43,3.35,1.46,1.39,1.56
"TAS","Tasman",147.862182617188,-43.2088279724121,0.1,1.17,1.96,4.97,3.98,6.74,2.39,2.12,2.82
"VIC","Colac Otway",143.561721801758,-38.8537979125977,0.1,1.59,2.68,4.57,3.7,6.12,1.88,1.73,2.12
"WANorth","Broome",123.314888000488,-17.0903549194336,0.1,5.18,3.88,2.9,2.53,3.5,3.7,3.11,4.67
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.1,1.08,1.97,3.49,2.98,4.32,2.63,2.31,3.16
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.1,2.62,3.38,4.02,3.35,5.15,1.57,1.48,1.72
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.2,1.48,2.64,17.74,12.36,28.74,2.56,2.25,3.04
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.2,4.19,1.81,11.2,8.34,16.53,2.84,2.46,3.44
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.2,3.95,4.28,9.33,6.93,14.01,3.59,3.02,4.56
"QLDSouth","Redland",153.505752563477,-27.5359077453613,0.2,1.83,3.14,35.7,22.45,66.8,2.89,2.49,3.54
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,0.2,1.95,2.52,7.72,5.9,11.15,4.37,3.58,5.74
"TAS","King Island",143.921173095703,-39.6032028198242,0.2,1.68,3.2,24.68,16.15,43.94,4.24,3.48,5.56
"VIC","Colac Otway",143.561721801758,-38.8537979125977,0.2,1.69,2.78,20.86,13.68,37.41,3.54,2.99,4.48
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.2,5.28,5.58,8.41,6.39,12.19,6.14,4.72,8.91
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.2,1.18,2.07,12.21,8.89,18.68,6.94,5.32,9.99
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.2,2.72,3.48,16.13,11.19,26.5,2.48,2.18,2.95
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.38,1.66,2.82,236.02,118.81,590.25,5.95,4.68,8.28
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.38,4.37,1.99,98.49,56.28,206.49,7.24,5.54,10.46
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.38,4.13,4.46,69.69,39.57,150.81,11.35,8.16,17.87
"QLDSouth","Redland",153.505752563477,-27.5359077453613,0.38,2.01,3.32,891.55,369.28,2931.48,7.51,5.68,11.04
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,0.38,2.13,2.7,48.62,29.11,97.64,16.51,11.31,27.7
"TAS","King Island",143.921173095703,-39.6032028198242,0.38,1.86,3.38,442.06,197.44,1322.85,15.57,10.72,26.01
"VIC","Colac Otway",143.561721801758,-38.8537979125977,0.38,1.87,2.96,321.07,144.02,974.26,11.06,7.99,17.28
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.38,5.46,5.76,57.2,33.93,115.66,31.44,19.04,63.76
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.38,1.36,2.25,116.05,63.5,260.3,39.64,23.96,79.26
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.38,2.9,3.66,197.11,98.37,506.2,5.6,4.4,7.81
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.6,1.88,3.04,5581.57,1888.44,23731.51,16.73,11.43,28.18
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.6,4.59,2.21,1404.37,580.32,4519.58,22.79,14.93,40.7
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.6,4.35,4.68,813.39,332.78,2751.89,46.34,27.51,94.86
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.6,1.89,2.55,45779.01,11510.37,293732.51,55.92,32.23,119.44
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,0.6,2.35,2.92,460.73,204.95,1385.26,83.67,46.06,189.49
"TAS","King Island",143.921173095703,-39.6032028198242,0.6,2.08,3.6,15034.06,4210.78,84859.63,76.3,42.3,171.57
"VIC","Colac Otway",143.561721801758,-38.8537979125977,0.6,2.09,3.18,9073.59,2558.88,52355.48,44.49,26.63,89.96
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.6,5.68,5.98,595.51,261.07,1809.83,231.44,104.86,706.71
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.6,1.58,2.47,1819.53,702.29,6514.96,333.69,150.73,996.48
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.6,3.12,3.88,4199.86,1401.63,18620.12,15.19,10.39,25.69
"NSW","Newcastle",151.755249023438,-32.9575996398926,1,2.28,3.44,1756280.8,288518.25,19597873.39,109.38,58,260.91
"NT","Victoria Daly",129.637725830078,-14.869083404541,1,4.99,2.61,176117.07,40374.62,1235464.87,183.2,90.53,481.54
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,1,4.75,5.08,70876.3,15980.91,540404.71,597.81,250.63,1973
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,1,2.29,2.95,58583772.26,5867892.05,1297936281.57,817.81,326.46,2896.63
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,1,2.75,3.32,27483.91,7124.58,172140.67,1600.64,591.82,6251.4
"TAS","King Island",143.921173095703,-39.6032028198242,1,2.48,4,9157860.1,1098005.47,163870918.75,1372.59,513.61,5297.25
"VIC","Colac Otway",143.561721801758,-38.8537979125977,1,2.49,3.58,3947284.91,478722.19,73271815.56,558.69,237.41,1806.02
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,1,6.08,6.38,42151.67,10663.96,268779.26,8724.15,2331.84,56070.55
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,1,1.98,2.87,271184.02,55487.06,2272583.81,16053.36,4268.9,99414.15
NA,"Whitsunday",149.715850830078,-20.0136013031006,1,3.52,4.28,1093262.23,175545.24,13080899.05,93.12,49.49,223.68
"NSW","Bega Valley",149.979293823242,-37.4584083557129,0.04,1.32,2.07,1.78,1.65,1.97,1.38,1.33,1.47
"NT","Unincorporated NT",130.514770507812,-12.6257009506226,0.04,3.93,2.28,1.62,1.52,1.76,1.32,1.27,1.38
"QLDNorth","Torres",142.315673828125,-10.5067167282104,0.04,2.11,1.98,1.56,1.47,1.68,1.64,1.53,1.8
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.04,1.33,1.99,2.05,1.87,2.31,1.31,1.26,1.38
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.04,2.21,3.95,1.51,1.43,1.62,1.16,1.14,1.2
"TAS","Tasman",147.862182617188,-43.2088279724121,0.04,1.11,1.9,1.9,1.74,2.15,1.42,1.35,1.51
"VIC","Greater Geelong",144.635314941406,-38.1060447692871,0.04,1.01,2.68,1.84,1.7,2.05,1.23,1.2,1.29
"WANorth","Broome",123.314888000488,-17.0903549194336,0.04,5.12,3.82,1.53,1.45,1.65,1.69,1.58,1.85
"WASouth","Denmark",117.01692199707,-35.0369186401367,0.04,1.05,1.79,1.65,1.55,1.81,1.39,1.33,1.47
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.04,2.56,3.32,1.74,1.62,1.93,1.2,1.17,1.24
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.14,1.42,2.58,7.49,5.81,10.49,1.93,1.77,2.18
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.14,4.13,1.75,5.43,4.41,7.13,2.07,1.88,2.37
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.14,3.89,4.22,4.78,3.88,6.35,2.45,2.17,2.89
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.14,1.43,2.09,12.23,8.86,18.87,2.56,2.25,3.05
"SA","Kangaroo Island",136.626861572266,-35.7417831420898,0.14,2.03,2.88,4.18,3.49,5.34,2.83,2.46,3.45
"TAS","King Island",143.921173095703,-39.6032028198242,0.14,1.62,3.14,9.43,7.01,14.13,2.75,2.4,3.32
"VIC","Colac Otway",143.561721801758,-38.8537979125977,0.14,1.63,2.72,8.38,6.24,12.62,2.42,2.15,2.86
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.14,5.22,5.52,4.44,3.66,5.76,3.56,2.96,4.62
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.14,1.12,2.01,5.76,4.62,7.76,3.88,3.22,5.01
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.14,2.66,3.42,7.01,5.42,9.92,1.89,1.73,2.13
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.32,1.6,2.76,99.6,55.88,215.53,4.49,3.67,5.93
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.32,4.31,1.93,47.72,29.78,89,5.3,4.23,7.22
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.32,4.07,4.4,35.66,22.14,68.31,7.74,5.86,11.34
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.32,1.61,2.27,305.98,146.53,824.6,8.55,6.37,12.82
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,0.32,2.07,2.64,26.33,17.1,47.37,10.6,7.71,16.4
"TAS","King Island",143.921173095703,-39.6032028198242,0.32,1.8,3.32,168.96,85.7,425.25,10.09,7.37,15.55
"VIC","Colac Otway",143.561721801758,-38.8537979125977,0.32,1.81,2.9,129.07,65.71,328.68,7.57,5.76,11.02
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.32,5.4,5.7,30.2,19.45,54.63,18.24,11.96,33.08
"WASouth","Greater Geraldton",114.592399597168,-28.7682914733887,0.32,1.3,2.19,54.78,32.97,108.16,22.17,14.51,39.74
NA,"Whitsunday",149.715850830078,-20.0136013031006,0.32,2.84,3.6,85.58,47.67,189.38,4.27,3.49,5.65
"NSW","Newcastle",151.755249023438,-32.9575996398926,0.54,1.82,2.98,2355.49,888.16,8665.48,12.62,8.96,20.18
"NT","Victoria Daly",129.637725830078,-14.869083404541,0.54,4.53,2.15,680.35,307.11,1948,16.67,11.39,28.09
"QLDNorth","Isaac",149.622375488281,-22.3531131744385,0.54,4.29,4.62,416.17,186.19,1246.43,31.58,19.75,60.17
"QLDSouth","Gold Coast",153.447219848633,-27.773681640625,0.54,1.83,2.49,15653.08,4518.35,83398.23,37.4,22.78,74.03
"SA","Franklin Harbour",136.682769775391,-33.8711814880371,0.54,2.29,2.86,249.52,120.36,672.01,53.74,31.4,112.16
"TAS","King Island",143.921173095703,-39.6032028198242,0.54,2.02,3.54,5746.04,1827.79,27279.16,49.46,29.09,102.56
"VIC","Unincorporated Vic",149.903854370117,-37.5688209533691,0.54,1.81,2.48,3640.69,1235.27,15800.42,72.9,42.16,152.14
"WANorth","Derby-West Kimberley",123.582817077637,-17.0903625488281,0.54,5.62,5.92,314.34,149.65,854.82,134.27,65.85,366.7
