"name","nCompleteYears","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95"
"'port_adelaide_inner_harbor-61610-aus-bom'",54,138.5,-34.85,2.20802523086553,2.29106896810749,2.37647074502195
"'port_adelaide_outer_harbor-61600-aus-bom'",77,138.4807,-34.7798,2.12355701547954,2.20479375904612,2.28833723242228
"'port_giles-61685-aus-bom'",26,137.7683,-35.0218,1.89046827272754,1.95924371784496,2.02997205228873
"'port_lincoln-61900-aus-bom'",54,135.8701,-34.7159,1.53513897659835,1.60310890752703,1.67300885508297
"'port_pirie-61800-aus-bom'",88,138.0117,-33.1776,2.50628260370669,2.60505169350105,2.70662534676865
"'thevenard-128a-aus-uhslc'",54,133.64,-32.15,1.85450041510339,1.91882677686209,1.9849796955419
"'thevenard-62000-aus-bom'",54,133.6413,-32.1489,1.85450041510339,1.91882677686209,1.9849796955419
"'victor_harbor-61490-aus-bom'",51,138.6354,-35.5625,1.38180498368366,1.44457673830407,1.50913090653716
"'wallaroo-61780-aus-bom'",36,137.6152,-33.926,1.81590840446209,1.90551154393017,1.99765897830432
"'whyalla-61840-aus-bom'",29,137.5904,-33.0128,2.35914617927681,2.46105167871494,2.56585080045984
